Issue Type,Summary,Description,Assignee,Priority,Epic Link,Story Points,Labels
Epic,Giai đoạn 1: Setup & Database,Setup project infrastructure và thiết kế database schema,Member 5,High,,
Epic,Giai đoạn 2: Backend Core - Models & Repositories,Phát triển Entity models và Repository layer,Member 1,High,,
Epic,Giai đoạn 3: Backend Services & Controllers,Phát triển Service layer và REST API Controllers,Member 2,High,,
Epic,Giai đoạn 4: AI Integration,Tích hợp Google Gemini API cho các tính năng AI,Member 4,High,,
Epic,Giai đoạn 5: Security & Configuration,Implement JWT authentication và cấu hình hệ thống,Member 1,High,,
Epic,Giai đoạn 6: Frontend Development,Phát triển React frontend cho tất cả modules,Member 3,High,,
Epic,Giai đoạn 7: Testing & Documentation,Viết tests và tài liệu dự án,Member 5,High,,
Story,Project Initialization,Setup Spring Boot và React project structure,Member 5,High,Giai đoạn 1: Setup & Database,3,Setup
Story,Database Configuration,Install PostgreSQL và tạo database scripts,Member 5,High,Giai đoạn 1: Setup & Database,5,Database
Story,Core Database Tables,Thiết kế bảng Users Authentication và Student Profile,Member 1,High,Giai đoạn 1: Setup & Database,8,Database
Story,Business Logic Tables,Thiết kế bảng Jobs Applications và Learning,Member 1,High,Giai đoạn 1: Setup & Database,8,Database
Story,Student Feature Tables,Thiết kế bảng AI Chat Saved Jobs Mock Interviews,Member 1,High,Giai đoạn 1: Setup & Database,5,Database
Story,AI & System Tables,Thiết kế bảng AI Services và System tables,Member 1,High,Giai đoạn 1: Setup & Database,5,Database
Story,Database Triggers & Functions,Tạo triggers và initial data scripts,Member 1,Medium,Giai đoạn 1: Setup & Database,3,Database
Story,Core Entity Models,Tạo User Student Recruiter models,Member 1,High,Giai đoạn 2: Backend Core - Models & Repositories,8,Backend
Story,Business Logic Models,Tạo Job Application Learning Gamification models,Member 2,High,Giai đoạn 2: Backend Core - Models & Repositories,8,Backend
Story,Student Feature Models,Tạo AI Chat Saved Jobs Mock Interview models,Member 1,High,Giai đoạn 2: Backend Core - Models & Repositories,5,Backend
Story,AI & System Models,Tạo AI Service và System models,Member 2,High,Giai đoạn 2: Backend Core - Models & Repositories,5,Backend
Story,Core Repositories,Tạo User Student Recruiter repositories,Member 1,High,Giai đoạn 2: Backend Core - Models & Repositories,5,Backend
Story,Business Logic Repositories,Tạo Job Application Learning repositories,Member 2,High,Giai đoạn 2: Backend Core - Models & Repositories,5,Backend
Story,Student Feature Repositories,Tạo AI Chat Job Management repositories,Member 1,High,Giai đoạn 2: Backend Core - Models & Repositories,3,Backend
Story,AI & System Repositories,Tạo AI Service và System repositories,Member 2,High,Giai đoạn 2: Backend Core - Models & Repositories,3,Backend
Story,Core Services,Implement AuthService StudentService RecruiterService,Member 1,High,Giai đoạn 3: Backend Services & Controllers,8,Backend
Story,Business Logic Services,Implement Job Application Learning Services,Member 2,High,Giai đoạn 3: Backend Services & Controllers,8,Backend
Story,Student Feature Services,Implement AI Chat Job Management Mock Interview Services,Member 1,High,Giai đoạn 3: Backend Services & Controllers,5,Backend
Story,AI & System Services,Implement File Storage System Admin Services,Member 2,High,Giai đoạn 3: Backend Services & Controllers,5,Backend
Story,Authentication & User APIs,Implement AuthController và StudentController,Member 2,High,Giai đoạn 3: Backend Services & Controllers,5,API
Story,Job & Application APIs,Implement Job search và Application APIs,Member 2,High,Giai đoạn 3: Backend Services & Controllers,5,API
Story,Student Feature APIs,Implement AI Chat Job Management Mock Interview APIs,Member 2,High,Giai đoạn 3: Backend Services & Controllers,8,API
Story,Recruiter & Admin APIs,Implement RecruiterController và AdminController,Member 2,High,Giai đoạn 3: Backend Services & Controllers,5,API
Story,Learning & Gamification APIs,Implement Course Quiz Challenge APIs,Member 2,Medium,Giai đoạn 3: Backend Services & Controllers,5,API
Story,Google Gemini API Setup,Configure Gemini API client và test connection,Member 4,High,Giai đoạn 4: AI Integration,3,AI
Story,CV Analysis AI Service,Implement CV extraction và AI analysis,Member 4,High,Giai đoạn 4: AI Integration,8,AI
Story,Career Coach Chatbot,Implement chat service với Gemini API,Member 4,High,Giai đoạn 4: AI Integration,8,AI
Story,Job Matching AI,Implement job matching algorithm với AI,Member 4,High,Giai đoạn 4: AI Integration,5,AI
Story,Mock Interview AI,Implement question generation và answer evaluation,Member 4,High,Giai đoạn 4: AI Integration,8,AI
Story,Vector Database Integration,Setup vector DB và semantic search,Member 4,Medium,Giai đoạn 4: AI Integration,5,AI
Story,JWT Authentication,Implement JWT service filter và security config,Member 1,High,Giai đoạn 5: Security & Configuration,5,Security
Story,OAuth2 Integration,Configure OAuth2 client và callback handler,Member 1,Medium,Giai đoạn 5: Security & Configuration,3,Security
Story,User Details Service,Implement UserDetailsService cho authentication,Member 1,High,Giai đoạn 5: Security & Configuration,2,Security
Story,Application Configuration,Setup application.yml và environment configs,Member 5,High,Giai đoạn 5: Security & Configuration,3,Config
Story,OpenAPI Documentation,Configure Swagger/OpenAPI documentation,Member 5,Medium,Giai đoạn 5: Security & Configuration,2,Documentation
Story,Exception Handling,Implement global exception handler,Member 5,High,Giai đoạn 5: Security & Configuration,2,Backend
